"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 23:39:40 GMT 2023","Sat Apr 15 23:39:57 GMT 2023","17264","Tests.Automata teszt","test_conduit","TestConduit","","","test_modify_data",""
"passed","Sat Apr 15 23:38:13 GMT 2023","Sat Apr 15 23:38:14 GMT 2023","697","Tests.Automata teszt","test_conduit","TestConduit","","","test_cookie_handling",""
"passed","Sat Apr 15 23:39:26 GMT 2023","Sat Apr 15 23:39:29 GMT 2023","2642","Tests.Automata teszt","test_conduit","TestConduit","","","test_new_data_upload",""
"passed","Sat Apr 15 23:38:01 GMT 2023","Sat Apr 15 23:38:02 GMT 2023","966","Tests.Automata teszt","test_conduit","TestConduit","","","test_logout",""
"passed","Sat Apr 15 23:38:49 GMT 2023","Sat Apr 15 23:39:15 GMT 2023","25748","Tests.Automata teszt","test_conduit","TestConduit","","","test_multi_page_listing",""
"passed","Sat Apr 15 23:40:08 GMT 2023","Sat Apr 15 23:40:19 GMT 2023","11144","Tests.Automata teszt","test_conduit","TestConduit","","","test_delete_data",""
"passed","Sat Apr 15 23:37:36 GMT 2023","Sat Apr 15 23:37:38 GMT 2023","2656","Tests.Automata teszt","test_conduit","TestConduit","","","test_signup",""
"broken","Sat Apr 15 23:40:50 GMT 2023","Sat Apr 15 23:40:55 GMT 2023","5430","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_download",""
"broken","Sat Apr 15 23:40:30 GMT 2023","Sat Apr 15 23:40:39 GMT 2023","8358","Tests.Automata teszt","test_conduit","TestConduit","","","test_more_articles_uploads",""
"passed","Sat Apr 15 23:37:49 GMT 2023","Sat Apr 15 23:37:50 GMT 2023","819","Tests.Automata teszt","test_conduit","TestConduit","","","test_signin",""
"passed","Sat Apr 15 23:38:25 GMT 2023","Sat Apr 15 23:38:38 GMT 2023","12543","Tests.Automata teszt","test_conduit","TestConduit","","","test_data_listing",""
